Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1980","1980","gigagrams","3831087.0634","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1981","1981","gigagrams","3859882.4148","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1982","1982","gigagrams","3887401.6834","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1983","1983","gigagrams","3939065.7616","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1984","1984","gigagrams","3997993.0622","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1985","1985","gigagrams","4010266.4453","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1986","1986","gigagrams","4053889.7138","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1987","1987","gigagrams","4068920.17","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1988","1988","gigagrams","4124362.4194","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1989","1989","gigagrams","4181728.2032","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1990","1990","gigagrams","4611568.8594","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1991","1991","gigagrams","4596111.4054","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1992","1992","gigagrams","4576219.1319","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1993","1993","gigagrams","4549419.0508","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1994","1994","gigagrams","4584097.6859","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1995","1995","gigagrams","4640192.8455","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1996","1996","gigagrams","4777440.5063","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1997","1997","gigagrams","4737413.6767","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1998","1998","gigagrams","4847098.0061","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1999","1999","gigagrams","4875313.876","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2000","2000","gigagrams","4805153.4518","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2001","2001","gigagrams","4717881.9814","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2002","2002","gigagrams","4748157.9346","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2003","2003","gigagrams","4742248.0452","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2004","2004","gigagrams","4844425.4031","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2005","2005","gigagrams","4873930.3533","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2006","2006","gigagrams","4924994.4785","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2007","2007","gigagrams","5008612.8056","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2008","2008","gigagrams","5020988.4102","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2009","2009","gigagrams","5019933.105","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2010","2010","gigagrams","5088714.3277","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2011","2011","gigagrams","5220746.9317","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2012","2012","gigagrams","5241381.0818","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2013","2013","gigagrams","5184924.0309","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2014","2014","gigagrams","5238033.8615","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2015","2015","gigagrams","5259816.2027","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","2016","2016","gigagrams","5285845.511","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1961","1961","gigagrams","742395.3244","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1962","1962","gigagrams","765400.7349","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1963","1963","gigagrams","783710.7433","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1964","1964","gigagrams","807906.5074","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1965","1965","gigagrams","838095.4115","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1966","1966","gigagrams","875403.0063","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1967","1967","gigagrams","905569.6449","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1968","1968","gigagrams","933028.9309","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1969","1969","gigagrams","952725.1891","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1970","1970","gigagrams","981264.3668","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1971","1971","gigagrams","1010976.7757","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1972","1972","gigagrams","1036285.5928","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1973","1973","gigagrams","1071041.546","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1974","1974","gigagrams","1080927.513","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1975","1975","gigagrams","1135718.5797","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1976","1976","gigagrams","1154488.9778","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1977","1977","gigagrams","1182963.8637","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1978","1978","gigagrams","1228184.3491","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1979","1979","gigagrams","1252499.6689","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1980","1980","gigagrams","1288790.8074","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1981","1981","gigagrams","1299268.3509","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1982","1982","gigagrams","1316638.9919","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1983","1983","gigagrams","1355489.4832","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1984","1984","gigagrams","1392140.5357","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1985","1985","gigagrams","1395235.5551","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1986","1986","gigagrams","1419622.3281","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1987","1987","gigagrams","1442220.9589","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1988","1988","gigagrams","1473224.3533","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1989","1989","gigagrams","1492815.1592","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1990","1990","gigagrams","1616613.7873","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1991","1991","gigagrams","1603597.7281","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1992","1992","gigagrams","1598618.3536","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1993","1993","gigagrams","1585534.4504","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1994","1994","gigagrams","1599155.9229","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1995","1995","gigagrams","1640731.4427","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1996","1996","gigagrams","1682079.2751","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1997","1997","gigagrams","1668980.9278","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1998","1998","gigagrams","1678791.561","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","1999","1999","gigagrams","1700518.7105","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2000","2000","gigagrams","1681599.2724","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2001","2001","gigagrams","1697633.4306","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2002","2002","gigagrams","1711141.245","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2003","2003","gigagrams","1749573.2241","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2004","2004","gigagrams","1792999.7809","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2005","2005","gigagrams","1810758.4512","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2006","2006","gigagrams","1835948.7046","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2007","2007","gigagrams","1879889.1803","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2008","2008","gigagrams","1899222.9175","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2009","2009","gigagrams","1917998.2161","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2010","2010","gigagrams","1944870.2868","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2011","2011","gigagrams","1981558.5625","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2012","2012","gigagrams","2004411.9364","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2013","2013","gigagrams","2039356.3038","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2014","2014","gigagrams","2063590.5384","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2015","2015","gigagrams","2071576.8666","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1709","Agricultural Soils","2016","2016","gigagrams","2089762.4405","A","Aggregate, may include official, semi-official, estimated or calculated data",""
